Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
SP,A18110009362,2023-01-06 00:00:00,4.6,SOL,COMERCIAL FERRETERA MUNDIAL SOCIEDAD ANONIMA CERRADA - COFEMUN S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SUF,A18110009362,2026-07-01 00:00:00,1.1012,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009365,2025-11-14 00:00:00,147.5,SOL,ALEGRE PISCOCHE LUIS JULIO,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009373,2025-09-09 00:00:00,182,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009374,2026-06-08 00:00:00,9.5,USD,COINTET S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009375,2026-01-09 00:00:00,14.4067,SOL,FERRETERIA Y REPUESTOS HIDRAULICOS MARLON S.A.C. - FERHIMAR S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009377,2019-08-06 00:00:00,11.93,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009377,2020-10-21 00:00:00,13.5,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009378,2021-10-21 00:00:00,8.42,SOL,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009378,2024-08-01 00:00:00,2.64,USD,JOSLYN PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009382,2022-02-11 00:00:00,7.8,USD,JOSLYN PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009384,2019-11-13 00:00:00,1.44,USD,GARIZA BURGOS MANUEL,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110009384,2026-05-04 00:00:00,2.0833,USD,MULTISERVICIOS INDUSTRIALES OS10 E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009385,2022-12-26 00:00:00,17.6,USD,EMCO INDUSTRIA EIRL,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009390,2022-01-20 00:00:00,182.07,USD,BLESOLA IMPORT EXPORT S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009392,2022-12-26 00:00:00,5.46,USD,EMCO INDUSTRIA EIRL,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009394,2024-10-24 00:00:00,29.661,SOL,FERSANTA SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110009402,2019-10-15 00:00:00,237.2881,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
